年,月,日,时,分,NEE,RE,GPP,LE,Hs
2017,1,1,21,30,-0.069879958,1.587820288,0.00000029 ,87.4543,10.941
2017,1,1,22,0,-0.065037098,1.477780284,0.00000028 ,11.1455,11.6476
2017,1,1,22,30,-0.082862908,1.88282028,0.00000028 ,82.2874,10.0653
2017,1,1,23,0,-0.118366655,2.689540276,0.00000028 ,64.3206,3.33853
2017,1,1,23,30,-0.116337354,2.643430272,0.00000027 ,126.459,10.301
2017,1,1,24,0,-0.028159402,0.639841268,0.00000027 ,118.014,9.64535
2017,1,2,0,30,0.003199527,-0.072699736,0.00000026 ,119.425,9.75138
2017,1,2,1,0,0.098022593,-2.22727974,0.00000026 ,173.192,20.9561
2017,1,2,1,30,-0.023496191,0.533883256,0.00000026 ,89.4064,10.5458
2017,1,2,2,0,-0.058811003,1.336310252,0.00000025 ,109.534,10.4674
2017,1,2,2,30,-0.008238408,0.187194248,0.00000025 ,56.1172,4.66961
2017,1,2,3,0,-0.011352071,0.257943244,0.00000024 ,55.5785,3.91078
2017,1,2,3,30,-0.0339417,0.77122724,0.00000024 ,63.299,4.6637
2017,1,2,4,0,-0.039726023,0.902659236,0.00000024 ,53.5451,3.89165
2017,1,2,4,30,-0.007003663,0.159138232,0.00000023 ,35.6445,3.63114
2017,1,2,5,0,-0.025641634,0.582632228,0.00000023 ,29.7349,7.13034
2017,1,2,5,30,-0.01648729,0.374626225,0.00000023 ,2.25559,16.7297
2017,1,2,6,0,-0.018684666,0.424555221,0.00000022 ,-5.06258,21.2831
2017,1,2,6,30,-0.11693413,2.656990217,0.00000022 ,-10.6192,-1.39166
2017,1,2,7,0,-0.008067209,0.183304213,0.00000021 ,-13.333,-1.06765
2017,1,2,7,30,-0.009887815,0.224672209,0.00000021 ,-25.539,35.9025
2017,1,2,8,0,-0.015004153,0.340926205,0.00000021 ,-44.1781,11.3883
2017,1,2,8,30,-0.199843249,4.540860201,0.00000020 ,-38.3128,51.7644
2017,1,2,9,0,-0.466932897,10.6097002,0.00000020 ,-10.0314,122.281
2017,1,2,9,30,-0.282981659,6.429940194,0.00000019 ,-7.83453,77.3945
2017,1,2,10,0,-0.348392842,7.916220119,0.00000012 ,-14.5634,94.3245
2017,1,2,10,30,-0.282981659,6.429940126,0.00000013 ,-19.6588,77.3945
2017,1,2,11,0,0.009877164,-0.22442985,0.00000015 ,-25.2796,10.7033
2017,1,2,11,30,-0.001925129,0.043743173,0.00000017 ,-22.0238,8.28418
2017,1,2,12,0,-0.021158688,0.480770216,0.00000022 ,35.4141,8.85574
2017,1,2,12,30,-0.032872257,0.74692724,0.00000024 ,-30.1614,10.7784
2017,1,2,13,0,-0.017067078,0.38780026,0.00000026 ,-114.07,6.7902
2017,1,2,13,30,-0.038510642,0.875043284,0.00000028 ,53.4673,5.01974
2017,1,2,14,0,-0.046475,1.056010292,0.00000029 ,63.5671,5.01491
2017,1,2,14,30,-0.075496514,1.715440293,0.00000029 ,34.7694,-0.0660175
2017,1,2,15,0,-0.277597036,6.307590286,0.00000029 ,15.0338,-2.60875
2017,1,2,15,30,-0.519837318,11.81180026,0.00000026 ,63.972,-11.5741
2017,1,2,16,0,-0.173867226,3.950630249,0.00000025 ,126.709,-2.89537
2017,1,2,16,30,-0.091973858,2.08984024,0.00000024 ,31.4859,5.25258
2017,1,2,17,0,-0.152654846,3.46864023,0.00000023 ,78.7464,4.10009
2017,1,2,17,30,-0.30886262,7.018010217,0.00000022 ,120.325,11.1016
2017,1,2,18,0,-0.16195856,3.680040211,0.00000021 ,272.626,17.4759
2017,1,2,18,30,-0.166205085,3.776530211,0.00000021 ,327.361,32.8675
2017,1,2,19,0,-0.063356796,1.439600212,0.00000021 ,627.353,54.1108
2017,1,2,19,30,-0.000902205,0.020500212,0.00000021 ,333.218,27.016
2017,1,2,20,0,-0.060271255,1.369490213,0.00000021 ,259.965,10.1861
2017,1,2,20,30,-0.008927649,0.202855213,0.00000021 ,132.281,13.3971
2017,1,2,21,0,0.01661888,-0.377615787,0.00000021 ,205.62,23.4292
2017,1,2,21,30,-0.090731016,2.061600214,0.00000021 ,125.514,13.8357
2017,1,2,22,0,-0.064204429,1.458860214,0.00000021 ,82.5371,10.7662
2017,1,2,22,30,-0.110011357,2.499690215,0.00000022 ,22.8038,3.78941
2017,1,2,23,0,-0.09229117,2.097050215,0.00000022 ,-25.6602,0.77559
2017,1,2,23,30,-0.081486275,1.851540216,0.00000022 ,-26.5804,10.0346
2017,1,2,24,0,-0.142136456,3.229640216,0.00000022 ,82.0199,10.0346
2017,1,3,0,30,-0.082853666,1.882610217,0.00000022 ,84.4574,11.5384
2017,1,3,1,0,-0.084487317,1.919730217,0.00000022 ,-12.674,-0.766733
2017,1,3,1,30,-0.025996575,0.590697217,0.00000022 ,-38.9028,-6.2783
2017,1,3,2,0,-0.083209707,1.890700218,0.00000022 ,-18.0192,11.7193
2017,1,3,2,30,-0.081632389,1.854860218,0.00000022 ,-19.0741,11.5728
2017,1,3,3,0,-0.083209707,1.890700219,0.00000022 ,-30.2355,11.7193
2017,1,3,3,30,-0.083395869,1.894930219,0.00000022 ,-22.7781,11.7396
2017,1,3,4,0,-0.082039921,1.86412022,0.00000022 ,-20.0175,11.2153
2017,1,3,4,30,-0.083395869,1.89493022,0.00000022 ,-7.03929,11.7396
2017,1,3,5,0,-0.083209707,1.890700221,0.00000022 ,-33.8939,11.7193
2017,1,3,5,30,-0.085317346,1.938590221,0.00000022 ,-35.5585,11.6093
2017,1,3,6,0,-0.076699308,1.742770221,0.00000022 ,-18.886,9.44291
2017,1,3,6,30,-0.076699308,1.742770222,0.00000022 ,-12.6367,9.44291
2017,1,3,7,0,-0.075539204,1.716410222,0.00000022 ,83.2893,9.54996
2017,1,3,7,30,-0.072063734,1.637440223,0.00000022 ,-12.4956,10.1714
2017,1,3,8,0,-0.062555374,1.421390223,0.00000022 ,81.2889,10.2742
2017,1,3,8,30,-0.083350539,1.893900224,0.00000022 ,-11.9613,9.732
2017,1,3,9,0,-0.083454403,1.896260224,0.00000022 ,-44.3267,10.0497
2017,1,3,9,30,-0.087968948,1.998840225,0.00000023 ,-13.984,9.61112
2017,1,3,10,0,-0.10777917,2.448970225,0.00000023 ,61.8765,5.25891
2017,1,3,10,30,-0.102337333,2.325320225,0.00000023 ,2.45023,4.39877
2017,1,3,11,0,-0.865865943,19.67430023,0.00000023 ,166.206,4.5279
2017,1,3,11,30,-0.111760314,2.539430226,0.00000023 ,115.103,-2.03984
2017,1,3,12,0,-0.124806199,2.835860334,0.00000033 ,152.288,3.45857
2017,1,3,12,30,-0.272499358,6.191760359,0.00000036 ,365.294,13.9326
2017,1,3,13,0,-0.145016031,3.295070363,0.00000036 ,133.611,1.03012
2017,1,3,13,30,-0.200410978,4.553760372,0.00000037 ,149.646,4.58019
2017,1,3,14,0,-0.170233761,3.868070393,0.00000039 ,28.967,1.93158
2017,1,3,14,30,-0.105690455,2.401510398,0.00000040 ,201.523,9.91748
2017,1,3,15,0,-0.134548252,3.057220392,0.00000039 ,187.562,12.5656
2017,1,3,15,30,-0.15359622,3.490030385,0.00000039 ,208.317,15.3248
2017,1,3,16,0,-0.086894664,1.974430383,0.00000038 ,206.738,14.6233
2017,1,3,16,30,-0.119675953,2.719290382,0.00000038 ,132.188,9.30455
2017,1,3,17,0,-0.054847463,1.24625038,0.00000038 ,82.1811,4.46765
2017,1,3,17,30,-0.037040268,0.841633378,0.00000038 ,47.332,2.41547
2017,1,3,18,0,-0.036675822,0.833352377,0.00000038 ,30.6188,10.1561
2017,1,3,18,30,-0.026509556,0.602353375,0.00000038 ,-8.05256,-1.44733
2017,1,3,19,0,-0.045288931,1.029060374,0.00000037 ,-30.9081,-2.45201
2017,1,3,19,30,-0.030850922,0.700998372,0.00000037 ,-25.0827,-2.26344
2017,1,3,20,0,0.000462105,-0.010499629,0.00000037 ,82.897,-0.190015
2017,1,3,20,30,-0.081574736,1.853550369,0.00000037 ,80.9179,10.1861
2017,1,3,21,0,-0.083774355,1.903530367,0.00000037 ,83.3059,10.2152
2017,1,3,21,30,-0.08652234,1.965970366,0.00000037 ,81.3687,9.89929
2017,1,3,22,0,-0.086371385,1.962540364,0.00000036 ,-18.803,-0.23407
2017,1,3,22,30,0.03975815,-0.903388637,0.00000036 ,-4.78126,0.571944
2017,1,3,23,0,-0.094614018,2.149830361,0.00000036 ,83.0356,8.47626
2017,1,3,23,30,-0.116034125,2.636540359,0.00000036 ,97.4784,13.5015
2017,1,3,24,0,-0.108819566,2.472610358,0.00000036 ,66.3686,15.313
2017,1,4,0,30,-0.132889955,3.019540356,0.00000036 ,5.62926,14.411
2017,1,4,1,0,-0.130653807,2.968730355,0.00000036 ,67.6111,14.411
2017,1,4,1,30,-0.101432048,2.304750353,0.00000035 ,59.4612,15.7431
2017,1,4,2,0,-0.103593819,2.353870352,0.00000035 ,51.9359,16.9842
2017,1,4,2,30,-0.109998594,2.49940035,0.00000035 ,2.3946,16.8827
2017,1,4,3,0,-0.103593819,2.353870348,0.00000035 ,-5.56805,16.9842
2017,1,4,3,30,-0.109998594,2.499400347,0.00000035 ,44.7349,16.8827
2017,1,4,4,0,-0.118867489,2.700920345,0.00000035 ,39.87,17.3326
2017,1,4,4,30,-0.121376499,2.757930344,0.00000034 ,36.5768,17.9831
2017,1,4,5,0,-0.103496557,2.351660342,0.00000034 ,56.453,21.5604
2017,1,4,5,30,-0.097839071,2.22311034,0.00000034 ,16.091,24.9291
2017,1,4,6,0,-0.101915717,2.315740339,0.00000034 ,14.03,26.5275
2017,1,4,6,30,-0.106376571,2.417100337,0.00000034 ,12.4112,27.8936
2017,1,4,7,0,-0.106376571,2.417100336,0.00000034 ,12.4112,27.8936
2017,1,4,7,30,-0.367033278,8.339770334,0.00000033 ,31.9694,31.379
2017,1,4,8,0,-0.101915717,2.315740333,0.00000033 ,14.03,26.5275
2017,1,4,8,30,-1.490895963,33.87630033,0.00000033 ,13.1683,338.769
2017,1,4,9,0,0.1050972,-2.388029671,0.00000033 ,-0.185142,16.6858
2017,1,4,9,30,0.007230755,-0.164297881,0.00000012 ,35.7022,10.4547
2017,1,4,10,0,-0.021336356,0.484807149,0.00000015 ,53.4567,9.67479
2017,1,4,10,30,-0.051482898,1.16980018,0.00000018 ,70.8571,5.99775
2017,1,4,11,0,-0.006891482,0.156589202,0.00000020 ,74.4139,2.74486
2017,1,4,11,30,-0.044167996,1.003590239,0.00000024 ,73.0903,4.14709
2017,1,4,12,0,0.013631437,-0.309734719,0.00000028 ,71.726,5.59697
2017,1,4,12,30,0.007786997,-0.176936685,0.00000032 ,67.0905,5.93478
2017,1,4,13,0,0.020662255,-0.469489652,0.00000035 ,79.6558,3.23686
2017,1,4,13,30,0.014427842,-0.327830641,0.00000036 ,73.0145,3.38988
2017,1,4,14,0,0.006504986,-0.147806633,0.00000037 ,75.8685,2.64164
2017,1,4,14,30,-0.018719609,0.425349365,0.00000037 ,72.4137,5.14076
2017,1,4,15,0,-0.020954393,0.476128379,0.00000038 ,-22.1221,6.34335
2017,1,4,15,30,-0.016062902,0.364983373,0.00000037 ,-20.1305,-1.37968
2017,1,4,16,0,-0.015028491,0.341479347,0.00000035 ,-43.8327,8.43212
2017,1,4,16,30,-0.012931898,0.293840323,0.00000032 ,-34.7488,-1.89885
2017,1,4,17,0,-0.09739281,2.212970303,0.00000030 ,-18.0484,13.627
2017,1,4,17,30,-0.002882655,0.06550027,0.00000027 ,-19.6857,20.8288
2017,1,4,18,0,-0.002380941,0.054100248,0.00000025 ,-16.1428,15.3906
2017,1,4,18,30,-0.003406374,0.07740023,0.00000023 ,-38.3547,-1.74189
2017,1,4,19,0,-0.012046681,0.27372623,0.00000023 ,-44.6034,-1.9303
2017,1,4,19,30,-0.073652936,1.673550229,0.00000023 ,85.3504,-0.0584
2017,1,4,20,0,-0.101580361,2.308120229,0.00000023 ,-25.478,-1.55119
2017,1,4,20,30,-0.073352787,1.666730228,0.00000023 ,86.2667,12.4611
2017,1,4,21,0,-0.014564801,0.330943227,0.00000023 ,86.2667,-0.0838
2017,1,4,21,30,-0.069265139,1.573850227,0.00000023 ,88.9032,12.7242
2017,1,4,22,0,-0.061838891,1.405110226,0.00000023 ,-0.69225,10.2742
2017,1,4,22,30,-0.06064358,1.377950226,0.00000023 ,82.1478,10.4077
2017,1,4,23,0,-0.074758027,1.698660225,0.00000023 ,83.449,9.57374
2017,1,4,23,30,-0.081876644,1.860410225,0.00000023 ,82.6421,11.4008
2017,1,4,24,0,-0.082715475,1.879470224,0.00000022 ,84.3046,11.4197
2017,1,5,0,30,-0.082006474,1.863360224,0.00000022 ,83.8415,10.3558
2017,1,5,1,0,-0.07697173,1.748960223,0.00000022 ,84.4386,8.69746
2017,1,5,1,30,-0.083745309,1.902870223,0.00000022 ,83.2368,10.6123
2017,1,5,2,0,-0.083587313,1.899280222,0.00000022 ,84.0024,10.755
2017,1,5,2,30,-0.082711954,1.879390221,0.00000022 ,85.4411,10.4325
2017,1,5,3,0,-0.081974346,1.862630221,0.00000022 ,82.3692,10.0346
2017,1,5,3,30,-0.081486275,1.85154022,0.00000022 ,80.9365,10.0346
2017,1,5,4,0,-0.137644356,3.12757022,0.00000022 ,82.3692,-25.0239
2017,1,5,4,30,-1.361541771,30.93710022,0.00000022 ,91.7563,10.0286
2017,1,5,5,0,-0.082678946,1.878640219,0.00000022 ,83.7899,-98.7703
2017,1,5,5,30,-0.389946644,8.860410218,0.00000022 ,153.235,9.84348
2017,1,5,6,0,-0.257750286,5.856630218,0.00000022 ,174.2,10.0501
2017,1,5,6,30,-0.052659285,1.196530217,0.00000022 ,157.481,12.0412
2017,1,5,7,0,-0.221507171,5.033110217,0.00000022 ,220.972,20.3302
2017,1,5,7,30,-0.130024024,2.954420216,0.00000022 ,200.882,18.0772
2017,1,5,8,0,-0.014321954,0.325425216,0.00000022 ,186.701,18.4247
2017,1,5,8,30,-0.048269728,1.096790215,0.00000022 ,209.395,23.1467
2017,1,5,9,0,-0.092506379,2.101940214,0.00000021 ,340.893,36.7331
2017,1,5,9,30,-0.01219834,0.277172216,0.00000022 ,38.1335,19.1038
2017,1,5,10,0,-0.023384053,0.531335251,0.00000025 ,34.971,14.8553
2017,1,5,10,30,-0.024883782,0.565412295,0.00000030 ,54.855,12.3337
2017,1,5,11,0,-0.027316655,0.620692323,0.00000032 ,61.0818,8.3876
2017,1,5,11,30,-0.032571361,0.740090354,0.00000035 ,104.863,6.59635
2017,1,5,12,0,-0.052551021,1.19407038,0.00000038 ,98.5541,8.38319
2017,1,5,12,30,-0.029736809,0.675683397,0.00000040 ,-30.5271,0.0993918
2017,1,5,13,0,-0.04466795,1.014950425,0.00000043 ,90.1419,2.9206
2017,1,5,13,30,-0.016746157,0.380508458,0.00000046 ,46.5102,-4.07348
2017,1,5,14,0,-0.012598083,0.286255467,0.00000047 ,44.4969,-2.91239
2017,1,5,14,30,-0.024206644,0.550026469,0.00000047 ,-26.2648,46.7823
2017,1,5,15,0,-0.014682264,0.33361249,0.00000049 ,84.8728,-2.14127
2017,1,5,15,30,-0.092555231,2.103050483,0.00000048 ,-17.4464,-4.7568
2017,1,5,16,0,-0.116644544,2.650410455,0.00000046 ,-1.03189,-3.94066
2017,1,5,16,30,-0.069354039,1.575870425,0.00000043 ,65.5512,12.6871
2017,1,5,17,0,-0.06918328,1.571990397,0.00000040 ,7.7318,-3.4493
2017,1,5,17,30,-0.011178144,0.253991367,0.00000037 ,-6.81788,-1.89155
2017,1,5,18,0,-0.054391959,1.235900349,0.00000035 ,111.453,13.8268
2017,1,5,18,30,-0.085589328,1.944770333,0.00000033 ,100.221,13.4886
2017,1,5,19,0,-0.188312629,4.278860329,0.00000033 ,104.367,10.9938
2017,1,5,19,30,-0.170480217,3.873670326,0.00000033 ,-1.89585,11.617
2017,1,5,20,0,-0.139193948,3.162780323,0.00000032 ,-3.06486,11.9596
2017,1,5,20,30,-0.150476351,3.41914032,0.00000032 ,87.037,11.9596
2017,1,5,21,0,-0.178773461,4.062110318,0.00000032 ,91.3932,12.9135
2017,1,5,21,30,-0.134557494,3.057430315,0.00000032 ,97.02,11.9596
2017,1,5,22,0,-0.132579685,3.012490312,0.00000031 ,-6.20215,12.9135
2017,1,5,22,30,-0.146823962,3.336150309,0.00000031 ,-11.0189,24.1696
2017,1,5,23,0,-0.127166895,2.889500307,0.00000031 ,4.34377,23.5332
2017,1,5,23,30,-0.146823962,3.336150304,0.00000030 ,102.264,24.1696
2017,1,5,24,0,-0.103284428,2.346840301,0.00000030 ,92.9543,11.9401
2017,1,6,0,30,-0.103284428,2.346840298,0.00000030 ,90.2173,11.2859
2017,1,6,1,0,-0.098014671,2.227100295,0.00000030 ,86.9199,11.4266
2017,1,6,1,30,-0.091840508,2.086810293,0.00000029 ,84.0746,10.4481
2017,1,6,2,0,-0.364839379,8.28992029,0.00000029 ,51.1703,10.8233
2017,1,6,2,30,-0.080762751,1.835100287,0.00000029 ,341.321,11.0505
2017,1,6,3,0,-0.398213483,9.048250284,0.00000028 ,141.498,3.67469
2017,1,6,3,30,-0.195223519,4.435890281,0.00000028 ,58.4006,-24.3286
2017,1,6,4,0,-0.330666935,7.513450279,0.00000028 ,151.186,10.7072
2017,1,6,4,30,-0.06852225,1.556970276,0.00000028 ,86.5406,11.5646
2017,1,6,5,0,0.104603848,-2.376819727,0.00000027 ,597.629,229.806
2017,1,6,5,30,-0.067195788,1.52683027,0.00000027 ,50.6734,10.0145
2017,1,6,6,0,-0.020122604,0.457228268,0.00000027 ,72.4704,14.5231
2017,1,6,6,30,0.020383099,-0.463146735,0.00000027 ,135.962,52.1656
2017,1,6,7,0,-0.105442679,2.395880262,0.00000026 ,139.277,91.0981
2017,1,6,7,30,-0.026560343,0.603507259,0.00000026 ,46.402,13.6684
2017,1,6,8,0,0.075749132,-1.721179743,0.00000026 ,138.205,9.5605
2017,1,6,8,30,-0.007227762,0.164230254,0.00000025 ,43.2087,12.7974
2017,1,6,9,0,-0.013030701,0.296085251,0.00000025 ,-2.00579,3.77553
2017,1,6,9,30,-0.005011595,0.113874248,0.00000025 ,57.0063,-45.8333
2017,1,6,10,0,-0.00767706,0.174439277,0.00000028 ,68.5022,-47.2608
2017,1,6,10,30,-0.019922403,0.452679276,0.00000028 ,97.5163,33.6882
2017,1,6,11,0,-0.004339386,0.098600293,0.00000029 ,101.799,39.386
2017,1,6,11,30,-0.002270916,0.051600349,0.00000035 ,100.687,-17.041
2017,1,6,12,0,-0.007751041,0.176120383,0.00000038 ,99.0698,-5.84379
2017,1,6,12,30,-0.013996368,0.318027403,0.00000040 ,83.9162,-31.6696
2017,1,6,13,0,-0.15957894,3.625970439,0.00000044 ,11.3951,-23.2292
2017,1,6,13,30,-0.020871743,0.474250456,0.00000046 ,27.8076,-3.49294
2017,1,6,14,0,-0.033270944,0.755986457,0.00000046 ,27.8076,-3.49294
2017,1,6,14,30,0.072715082,-1.652239555,0.00000045 ,84.0965,95.7059
2017,1,6,15,0,-0.016660294,0.378557459,0.00000046 ,31.3145,15.857
2017,1,6,15,30,-0.022594426,0.513393452,0.00000045 ,-1.70059,-25.3797
2017,1,6,16,0,-0.074669126,1.696640429,0.00000043 ,73.3568,13.0771
2017,1,6,16,30,-0.085128543,1.934300405,0.00000041 ,-1.16525,-3.17468
2017,1,6,17,0,-0.017705619,0.402309385,0.00000039 ,-15.3237,-2.59619
2017,1,6,17,30,-0.012926309,0.293713367,0.00000037 ,-2.23068,-0.678192
2017,1,6,18,0,-0.009722161,0.22090834,0.00000034 ,-17.7824,3.00866
2017,1,6,18,30,-0.039599538,0.899785316,0.00000032 ,23.5391,8.43212
2017,1,6,19,0,-0.017389891,0.395135292,0.00000029 ,422.885,7.65259
2017,1,6,19,30,-0.1031612,2.344040289,0.00000029 ,-20.0023,19.8938
2017,1,6,20,0,0.196148169,-4.456899713,0.00000029 ,-25.7185,10.8233
2017,1,6,20,30,-0.067195348,1.526820284,0.00000028 ,-4.7677,11.2553
2017,1,6,21,0,0.537058431,-12.20309972,0.00000028 ,84.8925,-164.342
2017,1,6,21,30,-0.050641427,1.150680279,0.00000028 ,150.666,11.6338
2017,1,6,22,0,-0.004264569,0.096900276,0.00000028 ,130.737,14.9548
2017,1,6,22,30,0.001359909,-0.030899726,0.00000027 ,188.118,32.629
2017,1,6,23,0,0.047290945,-1.074549729,0.00000027 ,234.377,21.5929
2017,1,6,23,30,-0.002600991,0.059100268,0.00000027 ,242.669,35.5472
2017,1,6,24,0,-0.031539194,0.716637266,0.00000027 ,193.86,44.2972
2017,1,7,0,30,0.038062753,-0.864865737,0.00000026 ,214.941,25.7176
2017,1,7,1,0,0.011169562,-0.25379574,0.00000026 ,220.824,24.5673
2017,1,7,1,30,-0.001487538,0.033800258,0.00000026 ,184.008,25.5388
2017,1,7,2,0,0.00224451,-0.050999745,0.00000026 ,176.699,20.8896
2017,1,7,2,30,0.021011078,-0.477415747,0.00000025 ,161.056,19.5841
2017,1,7,3,0,0.001258686,-0.02859975,0.00000025 ,118.782,15.5298
2017,1,7,3,30,0.002979477,-0.067699753,0.00000025 ,70.506,17.8534
2017,1,7,4,0,-0.005642082,0.128200245,0.00000025 ,37.4543,6.03133
2017,1,7,4,30,-0.095640332,2.173150242,0.00000024 ,-5.09712,3.74455
2017,1,7,5,0,-0.000765774,0.01740024,0.00000024 ,-14.8951,-10.5269
2017,1,7,5,30,-0.020665644,0.469567237,0.00000024 ,-27.3705,-2.18042
2017,1,7,6,0,-0.012423671,0.282292234,0.00000023 ,-35.9224,-3.47635
2017,1,7,6,30,-0.007192378,0.163426232,0.00000023 ,-6.93919,15.5019
2017,1,7,7,0,-0.047196324,1.072400229,0.00000023 ,-90.6382,-11.9011
2017,1,7,7,30,-0.130557425,2.966540227,0.00000023 ,74.5842,15.2901
2017,1,7,8,0,-0.116749288,2.652790224,0.00000022 ,98.1072,13.7951
2017,1,7,8,30,-0.114572553,2.603330221,0.00000022 ,100.551,13.7023
2017,1,7,9,0,-0.148117856,3.365550219,0.00000022 ,99.4317,27.5533
2017,1,7,9,30,-0.066427814,1.509380216,0.00000022 ,61.9652,9.68132
2017,1,7,10,0,-0.063298263,1.438270195,0.00000020 ,67.137,9.7834
2017,1,7,10,30,-0.027653243,0.628340205,0.00000021 ,75.8507,11.2013
2017,1,7,11,0,-0.019076839,0.433466232,0.00000023 ,52.9324,9.87046
2017,1,7,11,30,-0.034346856,0.780433287,0.00000029 ,53.2764,1.43363
2017,1,7,12,0,-0.037911402,0.861427338,0.00000034 ,48.2429,2.73371
2017,1,7,12,30,0.010110153,-0.229723621,0.00000038 ,42.2726,6.17594
2017,1,7,13,0,-0.028758246,0.653448387,0.00000039 ,27.584,-2.38875
2017,1,7,13,30,-0.052587109,1.194890377,0.00000038 ,-7.97638,-5.50009
2017,1,7,14,0,-0.108034868,2.45478037,0.00000037 ,-7.0807,-5.35258
2017,1,7,14,30,-0.090965589,2.066930369,0.00000037 ,36.7698,7.67288
2017,1,7,15,0,-0.037530716,0.852777375,0.00000038 ,-8.75545,1.8167
2017,1,7,15,30,-0.002065755,0.046938669,0.00000037 ,182.117,19.6945
2017,1,7,16,0,-0.035371057,0.803705364,0.00000036 ,166.768,11.8704
2017,1,7,16,30,-0.015481662,0.351776353,0.00000035 ,159.499,16.8136
2017,1,7,17,0,-0.015568361,0.353746347,0.00000035 ,83.5226,9.98251
2017,1,7,17,30,-0.116181999,2.639900349,0.00000035 ,103.339,22.3118
2017,1,7,18,0,-0.110846667,2.51867035,0.00000035 ,99.6687,21.2995
2017,1,7,18,30,-0.103807267,2.358720348,0.00000035 ,94.4327,13.0566
2017,1,7,19,0,-0.098794528,2.244820345,0.00000035 ,-12.9376,11.8471
2017,1,7,19,30,-0.098794528,2.244820343,0.00000034 ,90.7689,11.8471
2017,1,7,20,0,-0.139722948,3.17480034,0.00000034 ,95.8582,24.6094
2017,1,7,20,30,-0.222907129,5.064920338,0.00000034 ,8.38816,24.1696
2017,1,7,21,0,-1.248075189,28.35890034,0.00000034 ,54.2299,12.8
